,id,followers,genres,name,popularity
689323,7H0qO77vDwVIRju4ToIOmn,5.0,[],Zak Radak,0
624653,1t7oQGzoGBTT9ZZhlatOSu,29.0,[],Bruna Oberan,3
273397,2h6bUtUpgLYuaXkLKxs0xO,355.0,['deep breakcore'],Llamatron,4
63138,14JwTXnvUkuRvTRs2EkUHT,2.0,[],Windowpane Action Figure,0
1036094,0KikX7u2pcHlKfYICkakBc,432.0,['kabarett'],Nils Heinrich,15
961791,0f1fcOm2ISulJwCkMxe4Sd,2514.0,[],MadRats,7
344681,6zTLwnkj2RFS7psAlhLDvG,278.0,['malagasy pop'],Tence Mena,6
554091,4jioFamX7IkzYxVmNqevDQ,21.0,[],Mukti Datta das,0
920508,70qHJFJIqlJHFfFT6dTylj,15.0,[],Federico Baena,3
278166,2irvIOnNBtm2lPHz9PyUVh,12182.0,['cuarteto'],Claudio Toledo,27
274003,0xCthQJmtBlKoUyoJfODC0,224.0,[],Segi,7
538004,4KTb4Zi12k5bIFjfXRmHHn,353.0,['singaporean metal'],State of Pain,4
572595,0WabDSH3KjbEFiRr0U09RM,397.0,[],Young $Immons,8
163431,7MBV7HWVAY9naGIoBnJTAv,2017.0,['chanson quebecois'],Jacques Michel,21
997536,3MK8hz30XXYEULNPTlrmCA,3.0,[],"Sherry, Allan & Wild",0
1058121,51rhmgXMMvVFQfL367eqG4,9.0,[],The Heavy Petters,0
933247,0cdjtHtemWhNhdcsSvJtlo,84.0,['german pagan metal'],Urschrei,0
401526,05kI5qKvfF3u2PETgoBx2c,44.0,[],The Defendants,2
1057357,5gNNQPwiHcB1zup3A5J8xo,530.0,[],Amelie Case,9
522050,56hglBOGQtdEJK2pKSg8Sa,3.0,[],Dmitry Toks,0
445707,1Um4UXCM1jPf141AJZQOBQ,118.0,[],Honest John,1
770497,2CQKYlMk1oC4h5zrC3k6RX,3287.0,['edmonton indie'],Faith Healer,14
419850,6OPwXa1pypcXyj4yMd7VVT,139.0,[],Hnos.Zanurtu,7
35451,1kyzZNCQmVVERAnLJb0MSW,1807.0,"['abstract idm', 'power noise']",Sonic Area,16
89715,07gWL9VpFpCGwvSzoZKUWm,0.0,[],Kapoly,0
218199,0Ao69sKu6KhIBFDMeu5mp4,18.0,[],"Didar Sandhu, Amar Noorie",0
184892,2TrHGPaebAd9lPU55M4hNs,387.0,[],Makk,13
134210,3hh4geVNuTWAG6K3nvViwI,1.0,[],Heinrich Bensing,0
117894,0Gsge25XbjSgomyqSXKmqk,0.0,[],AS SAFF,0
270852,5GIfMirlXQh4saiInbfRwm,3422.0,['connecticut indie'],Mark Mulcahy,16
498074,3DyY1QPl6bs1ycKQ3MxUoi,16.0,[],Jerry Full,12
16518,0BMDeAamxn1goHeDWoXYwo,0.0,[],Chris Dye,0
447857,1jnxYUu1y1461eI8YmnARu,23.0,[],Loveheart,0
582404,7dK2jDazaBVncJU4hFGWSB,135.0,['avant-rock'],Patricia Dallio,4
495380,3ZxUsk9E8QpzPNbcis4UUr,41.0,['deep german indie'],A Golden Pony Boy,0
1088833,56voN3DlNxKCQrYt34EiiZ,7.0,[],Lil' D,0
622236,67soRqjgxYidFsl1ytJ3Sa,94.0,['deep neo-synthpop'],Red This Ever,1
